City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
211,Olinda,BR,-8.0089,-34.8553,74.82,77,62,17.81,broken clouds
212,Dabhol,IN,17.6,73.1667,76.37,87,61,2.86,broken clouds
213,Lagoa,PT,39.05,-27.9833,68.83,68,47,9.73,scattered clouds
214,Marquette,US,46.5333,-87.6335,62.37,89,100,4.76,moderate rain
215,Bredasdorp,ZA,-34.5322,20.0403,49.28,88,99,2.26,overcast clouds
216,Tual,ID,-5.6667,132.75,80.64,78,87,21.85,overcast clouds
217,Iskateley,RU,67.6803,53.1512,45.66,82,100,6.58,overcast clouds
218,Fortuna,US,40.5982,-124.1573,92.48,68,20,4.0,few clouds
219,San Vicente,AR,-26.6167,-54.1333,62.04,60,0,3.24,clear sky
220,Colquechaca,BO,-18.6667,-66.0167,38.23,23,19,0.96,few clouds
221,Basoko,CD,1.2391,23.616,69.48,90,82,2.64,broken clouds
222,Kodiak,US,57.79,-152.4072,54.91,82,90,13.8,light rain
223,Puerto Escondido,MX,15.85,-97.0667,80.53,85,100,6.22,overcast clouds
224,Tiksi,RU,71.6872,128.8694,49.93,69,33,4.25,scattered clouds
225,College Station,US,30.628,-96.3344,91.47,64,1,10.36,clear sky
226,Haines Junction,CA,60.7522,-137.5108,70.74,56,80,9.4,broken clouds
227,Leningradskiy,RU,69.3833,178.4167,39.18,75,74,14.52,broken clouds
228,Kahului,US,20.8947,-156.47,85.96,74,8,13.91,clear sky
229,Noumea,NC,-22.2763,166.4572,69.78,62,100,7.29,overcast clouds
230,Chuy,UY,-33.6971,-53.4616,61.74,88,11,6.82,few clouds
231,Asau,RO,46.4333,26.4,59.95,85,1,3.83,clear sky
232,Geraldton,AU,-28.7667,114.6,61.21,94,75,8.05,broken clouds
233,Chishtian Mandi,PK,29.8,72.8667,91.69,48,3,6.11,clear sky
234,Camacha,PT,33.0833,-16.3333,70.54,83,75,4.61,broken clouds
235,Yar-Sale,RU,66.8333,70.8333,57.04,82,70,11.5,broken clouds
236,Berbera,SO,10.4396,45.0143,91.2,39,34,20.04,scattered clouds
237,Mount Gambier,AU,-37.8333,140.7667,50.22,68,70,5.48,broken clouds
238,Belaya Gora,RU,68.5333,146.4167,64.47,42,41,7.85,scattered clouds
239,Saint-Augustin,CA,51.226,-58.6502,63.7,93,100,8.08,overcast clouds
240,Vardo,NO,70.3705,31.1107,56.28,73,69,8.5,broken clouds
241,Vitim,RU,59.4511,112.5578,56.88,98,100,2.21,overcast clouds
242,Grindavik,IS,63.8424,-22.4338,54.55,93,75,4.61,broken clouds
243,Sidi Ali,DZ,36.0998,0.4206,75.9,52,18,6.15,few clouds
244,Clyde River,CA,70.4692,-68.5914,39.43,100,90,5.75,mist
245,Nacala,MZ,-14.5428,40.6728,67.44,88,0,5.57,clear sky
246,Aljezur,PT,37.3191,-8.8033,62.44,87,0,13.02,clear sky
247,Barcelos,PT,41.5388,-8.6151,61.84,93,4,5.08,clear sky
248,Kazanka,UA,47.8462,32.8218,64.42,68,78,13.24,broken clouds
249,Birjand,IR,32.8663,59.2211,72.75,24,0,13.47,clear sky
250,Pisco,PE,-13.7,-76.2167,61.02,87,11,8.57,few clouds
251,Bloemhof,ZA,-27.6469,25.607,47.26,20,0,6.44,clear sky
252,Faya,SA,18.3851,42.4509,68.45,58,57,5.66,broken clouds
253,Najran,SA,17.4924,44.1277,82.22,36,82,6.44,broken clouds
254,Coria,ES,39.9879,-6.5377,61.68,57,58,3.6,broken clouds
255,Provideniya,RU,64.3833,-173.3,45.86,78,100,8.28,light rain
256,Vestmannaeyjar,IS,63.4427,-20.2734,54.23,89,100,9.42,overcast clouds
257,Ponta Delgada,PT,37.7333,-25.6667,68.72,73,75,5.75,broken clouds
258,Waipawa,NZ,-41.4122,175.5153,47.44,79,100,11.74,moderate rain
259,Mishelevka,RU,52.8575,103.1719,58.87,84,58,7.31,broken clouds
260,Bubaque,GW,11.2833,-15.8333,79.32,75,15,13.2,few clouds
261,Meulaboh,ID,4.1363,96.1285,76.35,84,96,4.7,overcast clouds
262,Belyy Yar,RU,53.6039,91.3903,58.89,100,100,0.0,overcast clouds
263,Cabadiangan,PH,9.7531,122.4739,83.07,81,85,4.43,overcast clouds
264,Bagotville,AU,-28.9833,153.4167,62.29,68,87,11.7,overcast clouds
265,La Seyne-Sur-Mer,FR,43.0982,5.8847,75.92,71,100,4.0,overcast clouds
266,Hamilton,US,39.1834,-84.5333,83.98,59,50,4.65,scattered clouds
267,Lorengau,PG,-2.0226,147.2712,81.03,79,74,10.11,broken clouds
268,Okha,RU,53.5739,142.9478,58.8,66,72,9.37,broken clouds
269,San Patricio,US,28.017,-97.5169,90.32,61,0,15.86,clear sky
270,Viedma,AR,-40.8135,-62.9967,47.53,28,86,7.45,overcast clouds
271,Amahai,ID,-3.3333,128.9167,77.04,89,100,1.86,moderate rain
272,Kez,RU,57.8979,53.7152,48.0,89,13,4.12,few clouds
273,Winslow,US,35.0242,-110.6974,94.96,18,12,3.0,few clouds
274,Yatou,CN,37.15,122.3833,79.25,70,60,5.5,broken clouds
275,Port Hardy,CA,50.6996,-127.4199,59.68,86,76,12.26,light rain
276,Bandarbeyla,SO,9.4942,50.8122,75.4,82,11,27.25,few clouds
277,Lovozero,RU,68.005,35.0117,53.71,72,15,4.36,few clouds
278,Sisimiut,GL,66.9395,-53.6735,41.09,94,100,1.16,light rain
279,Evensk,RU,61.95,159.2333,63.64,50,3,10.54,clear sky
280,Bull Savanna,JM,17.8868,-77.5902,79.7,78,41,6.85,scattered clouds
281,Caranavi,BO,-15.8167,-67.55,61.56,66,0,2.55,clear sky
282,Mbekenyera,TZ,-10.0,38.9833,63.1,88,20,3.53,few clouds
283,Akureyri,IS,65.6835,-18.0878,58.44,77,97,4.43,overcast clouds
284,Marovoay,MG,-16.1,46.6333,68.14,76,0,3.27,clear sky
285,Anchorage,US,61.2181,-149.9003,68.2,75,90,1.99,overcast clouds
286,Nouadhibou,MR,20.931,-17.0347,69.01,91,1,11.32,clear sky
287,Fort Nelson,CA,58.8053,-122.7002,48.74,97,100,10.13,light rain
288,Bharatpur,IN,27.2167,77.4833,82.83,82,95,4.27,overcast clouds
289,Tandur,IN,17.2333,77.5833,74.46,87,50,8.81,scattered clouds
290,Atar,MR,20.5169,-13.0499,88.54,39,0,12.5,clear sky
291,Turtas,RU,58.9417,69.1325,60.71,99,97,2.75,overcast clouds
292,Yaan,NG,7.3833,8.5667,71.74,95,82,5.23,light rain
293,Tura,IN,25.5198,90.2201,74.21,99,100,4.76,overcast clouds
294,Gaoual,GN,11.75,-13.2,72.91,92,45,2.37,scattered clouds
295,Xai-Xai,MZ,-25.0519,33.6442,62.85,86,2,4.14,clear sky
296,Uzhhorod,UA,48.6167,22.3,61.47,71,52,6.42,broken clouds
297,Muroto,JP,33.2833,134.15,83.03,77,48,7.56,scattered clouds
298,Rio Grande,BR,-32.035,-52.0986,60.51,83,0,11.05,clear sky
299,Oyama,JP,36.3,139.8,77.67,89,100,12.71,moderate rain
300,Nanakuli,US,21.3906,-158.1547,85.03,60,2,15.28,clear sky
301,Atambua,ID,-9.1061,124.8925,74.82,56,46,5.28,scattered clouds
302,Mount Isa,AU,-20.7333,139.5,67.77,22,0,11.5,clear sky
303,Buala,SB,-8.145,159.5921,82.76,70,95,2.8,light rain
304,Abu Kamal,SY,34.4506,40.9171,90.41,21,0,4.81,clear sky
305,Eatonton,US,33.3268,-83.3885,81.63,81,68,3.8,broken clouds
306,Chokurdakh,RU,70.6333,147.9167,63.7,34,26,9.64,scattered clouds
307,Yulara,AU,-25.2406,130.9889,54.72,39,0,9.53,clear sky
308,Norman Wells,CA,65.282,-126.8329,53.64,54,75,6.91,broken clouds
309,Umarkot,PK,25.3616,69.7362,81.66,70,70,14.07,broken clouds
310,Avera,US,33.194,-82.5271,86.72,64,66,5.59,broken clouds
311,Barkly West,ZA,-28.5354,24.5215,50.63,19,1,7.16,clear sky
312,Killeen,US,31.1171,-97.7278,93.45,48,1,14.97,clear sky
313,Basqal,AZ,40.7552,48.391,73.62,27,21,4.99,few clouds
314,Madoc,CA,44.5084,-77.4745,77.79,78,88,2.37,overcast clouds
315,Mpika,ZM,-11.8343,31.4529,54.18,60,0,2.3,clear sky
316,Kloulklubed,PW,7.0419,134.2556,78.93,82,100,2.48,heavy intensity rain
317,Turukhansk,RU,65.8167,87.9833,65.88,60,56,1.7,broken clouds
318,Verkhoyansk,RU,67.5447,133.385,73.98,30,39,3.51,scattered clouds
319,Sungaipenuh,ID,-2.0833,101.3833,65.32,96,34,2.51,light rain
320,Timizart,DZ,36.8,4.2667,77.5,46,11,2.86,few clouds
321,Mazagao,BR,-0.115,-51.2894,79.59,79,50,6.31,scattered clouds
322,Oil City,US,41.4339,-79.7064,76.73,83,90,5.75,overcast clouds
323,Kaabong,UG,3.4836,34.1492,66.36,53,55,5.91,broken clouds
324,Broome,US,42.2506,-75.833,74.43,91,100,2.84,overcast clouds
325,Ensley,US,30.5188,-87.2728,87.01,79,40,7.56,scattered clouds
326,Ugoofaaru,MV,5.6667,73.0,83.08,74,100,18.39,light rain
327,Tocopilla,CL,-22.092,-70.1979,59.31,71,26,5.88,scattered clouds
328,Waingapu,ID,-9.6567,120.2641,79.16,68,55,14.72,broken clouds
329,Sinfra,CI,6.6167,-5.9167,71.65,90,75,3.94,broken clouds
330,Chigasaki,JP,35.3261,139.4039,78.82,86,100,27.85,moderate rain
331,Quetta,PK,30.199,67.0097,73.11,57,0,4.81,clear sky
332,Khani,GE,41.9563,42.9566,65.77,74,74,5.93,broken clouds
333,Santa Cruz De La Palma,ES,28.6835,-17.7642,72.14,78,0,5.75,clear sky
334,Grand-Santi,GF,4.25,-54.3833,72.95,99,90,2.93,light rain
