City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
201,Vardo,NO,2021-08-02 17:16:38,70.3705,31.1107,50.2,87,0,2.3
202,Ponta Do Sol,PT,2021-08-02 17:18:02,32.6667,-17.1,81.01,70,21,4.09
203,Avarua,CK,2021-08-02 17:17:58,-21.2078,-159.775,77.05,94,75,19.57
204,Lata,PT,2021-08-02 17:18:02,40.1629,-8.3327,80.04,57,80,10.67
205,Dunmore Town,BS,2021-08-02 17:18:03,25.5,-76.65,83.44,74,100,11.14
206,Batagay-Alyta,RU,2021-08-02 17:18:03,67.8006,130.4114,54.18,42,0,1.95
207,Sao Sebastiao Do Passe,BR,2021-08-02 17:18:03,-12.5125,-38.4953,71.15,91,64,8.52
208,Guanica,PR,2021-08-02 17:18:04,17.9716,-66.908,88.48,67,8,4.0
209,General Pico,AR,2021-08-02 17:18:04,-35.6566,-63.7568,65.12,30,0,13.44
210,Kushmurun,KZ,2021-08-02 17:18:04,52.4503,64.6311,74.77,49,68,10.0
211,Fort Nelson,CA,2021-08-02 17:15:17,58.8053,-122.7002,72.99,68,20,2.3
212,Fortuna,US,2021-08-02 17:14:53,40.5982,-124.1573,55.74,100,90,0.0
213,San Ramon,US,2021-08-02 17:16:49,37.7799,-121.978,73.6,66,1,5.01
214,Soeng Sang,TH,2021-08-02 17:18:05,14.4264,102.4606,75.0,91,99,5.91
215,Totma,RU,2021-08-02 17:18:05,59.9747,42.7642,69.91,69,92,4.74
216,Anadyr,RU,2021-08-02 17:18:05,64.75,177.4833,37.9,93,75,20.13
217,Jiangyou,CN,2021-08-02 17:18:06,31.7667,104.7167,78.35,74,4,4.03
218,Oxbow,CA,2021-08-02 17:16:23,49.2333,-102.1676,82.63,40,89,5.77
219,Kavaratti,IN,2021-08-02 17:18:06,10.5669,72.642,82.38,76,100,13.71
220,Pawai,IN,2021-08-02 17:18:06,24.2667,80.1667,75.2,89,100,13.2
221,Dalbandin,PK,2021-08-02 17:18:07,28.8947,64.4101,92.25,8,86,13.09
222,Pitea,SE,2021-08-02 17:18:07,65.3172,21.4794,63.09,49,42,4.83
223,Baykit,RU,2021-08-02 17:18:07,61.67,96.37,59.22,79,94,4.03
